id,callsign,airline_iata,airline_icao,origin,destination,aircraft_code,registration,latitude,longitude,altitude,ground_speed,heading,vertical_speed,on_ground,squawk,time
3b33e2ee,AIC301,AI,AIC,SYD,DEL,B788,VT-ANY,19.4445,90.8919,39975,496,313,-64,0,,1752268040
3b33e320,TAP247,TP,TAP,LIS,LAX,A339,CS-TUE,34.0419,-117.6211,11275,301,252,-1792,0,,1752268041
3b33e488,DAL170,DL,DAL,ICN,MSP,A359,N508DN,48.0083,-107.8798,39000,518,106,64,0,,1752268041
3b33e4e7,DAL297,DL,DAL,ATH,ATL,A333,N830NW,33.898,-84.209,10900,274,16,-64,0,,1752268041
3b33e603,SIA387,SQ,SIA,BCN,SIN,A359,9V-SMQ,7.2217,100.0345,41000,452,128,0,0,,1752268040
3b33e634,DMOAN,,,,,TRIN,D-MOAN,51.0636,9.4201,1315,1,213,0,0,,1752268014
3b33e637,IBE0107,IB,IBE,MAD,EZE,A332,EC-MYA,-29.7981,-53.4266,40000,419,212,0,0,,1752268041
3b33e650,NCA049,KZ,NCA,MXP,NRT,B748,JA13KZ,36.9896,128.2207,37000,474,102,0,0,,1752268041
3b33e946,JAL8,JL,JAL,NRT,BOS,B789,JA864J,43.2718,-78.2233,40975,505,150,0,0,,1752268041
3b33ea1b,AFR264,AF,AFR,CDG,ICN,A359,F-HUVD,37.3381,126.0127,7550,280,81,-1728,0,,1752268040
3b33ea79,CFG2092,DE,CFG,FRA,SFO,A339,D-ANRJ,38.072,-122.723,16625,372,167,-1664,0,,1752268040
3b33eb5e,UAL195,UA,UAL,MUC,SFO,B772,N791UA,37.588,-122.3012,1050,148,297,-704,0,,1752268041
3b33eb90,CCA166,CA,CCA,MEL,PEK,A333,B-8385,39.6415,116.6063,5250,252,23,-832,0,,1752268036
3b33ec0c,DHK703,D0,DHK,CVG,BAH,B77L,G-DHMD,29.6217,37.3352,35000,494,103,0,0,,1752268041
3b33eca6,SIA335,SQ,SIA,CDG,SIN,B77W,9V-SWW,8.8496,100.9357,35000,479,152,0,0,,1752268037
3b33ede3,FA8X,,,,,FA8X,,13.3995,101.8287,45000,452,123,0,0,,1752268041
3b33ee25,CES554,MU,CES,CDG,PVG,B77W,B-7882,41.8089,111.466,35100,543,162,-64,0,,1752268027
3b33ee32,EVA088,BR,EVA,CDG,TPE,B77W,B-16736,23.6302,109.7996,35100,493,102,0,0,,1752268041
3b33ee8b,PAL100,PR,PAL,MNL,HNL,A333,RP-C8786,20.9587,-158.6157,10100,316,93,-512,0,,1752268040
3b33efaa,SIA345,SQ,SIA,ZRH,SIN,B77W,9V-SWR,6.5304,101.9753,33000,480,157,0,0,,1752268041
3b33f01a,HVN10,VN,HVN,CDG,SGN,A359,VN-A891,12.8773,102.7443,41000,456,118,64,0,,1752268041
3b33f043,CSN306,CZ,CSN,AKL,CAN,B789,B-20CJ,21.918,113.9174,19925,439,331,-1088,0,,1752268041
3b33f07f,SIA351,SQ,SIA,CPH,SIN,A359,9V-SMT,5.8058,102.2704,31000,510,152,0,0,,1752268041
3b33f09a,SIA309,SQ,SIA,LGW,SIN,A359,9V-SMS,9.1106,97.8396,41000,449,123,0,0,,1752268040
3b33f149,CAL076,CI,CAL,FCO,TPE,A359,B-18905,25.288,121.3997,4000,215,133,-640,0,,1752268028
3b33f392,GEC8400,LH,GEC,FRA,PVG,B77L,D-ALFF,31.3455,121.0281,14175,372,129,-1024,0,,1752268041
3b33f4c5,MAS3,MH,MAS,LHR,KUL,A359,9M-MAC,9.9147,97.3981,41000,471,153,0,0,,1752268041
3b33f530,ACA8,AC,ACA,HKG,YVR,B789,C-GWUU,50.9685,-128.5313,39000,542,106,-64,0,,1752268041
3b33f69b,SIA301,SQ,SIA,MAN,SIN,A359,9V-SMJ,11.2757,95.0724,39000,469,130,0,0,,1752268036
3b33f6a1,JBU20,B6,JBU,LHR,JFK,A21N,N4076J,40.6467,-73.7755,0,0,230,0,1,,1752268035
3b33f858,UAL6,UA,UAL,NRT,IAH,B789,N29981,31.644,-99.2948,39000,502,150,64,0,,1752268040
3b33f889,SIA365,SQ,SIA,FCO,SIN,A359,9V-SME,4.8788,100.6384,41000,454,142,0,0,,1752268041
3b33f8da,THT7,TN,THT,CDG,LAX,B789,F-ONUI,33.9369,-118.4128,0,11,340,0,1,,1752268040
3b33f98f,THY15,TK,THY,IST,GRU,A359,TC-LGN,-16.7055,-37.8146,40000,485,213,-64,0,,1752268040
3b33fa57,ACA062,AC,ACA,ICN,YYZ,B789,C-FRTU,55.5104,-102.4887,38975,504,124,-64,0,,1752268041
3b33fc3b,UBT71B,Z0,NBT,LGW,LAX,B789,G-CKWP,33.9903,-118.0225,5500,228,263,-1152,0,,1752268040
3b33fce6,CCA868,CA,CCA,JNB,SZX,A359,B-32CE,13.9195,97.7979,41000,443,65,0,0,,1752268041
3b33fd3d,CSC3886,3U,CSC,MEL,TFU,A333,B-308F,30.3193,104.4584,0,0,112,0,1,,1752268010
3b33fec6,PIA781,PK,PIA,ISB,YYZ,B77L,AP-BGY,61.1745,-64.7139,36000,436,214,0,0,,1752268039
3b33fed2,EVE846,E9,EVE,BKK,MAD,A359,EC-NBO,43.8285,19.6346,40000,446,279,0,0,,1752268041
3b33ff13,SIA25,SQ,SIA,FRA,SIN,B77W,9V-SWJ,11.4861,99.5833,35000,500,149,0,0,,1752268041
3b340133,RAX951,RA,RAX,PTK,GRB,LJ35,N804TF,44.4833,-88.1167,700,11,89,0,0,,1752268008
3b3401d1,CPA216,CX,CPA,MAN,HKG,A359,B-LQG,27.099,106.0095,41100,494,145,0,0,,1752268036
3b3401e2,UAL423,UA,UAL,ATH,ORD,B78X,N13014,41.976,-87.9307,0,2,28,0,1,,1752268041
3b3401f7,ANA204,NH,ANA,FRA,HND,B789,JA928A,38.2755,122.2724,37100,526,100,0,0,,1752268039
3b34034b,THY79K,TK,THY,IST,SFO,A359,TC-LHB,52.2867,-115.4737,38000,475,207,0,0,,1752268041
3b340394,RCR3358,NJ,,BUD,HKG,B744,YR-FSA,22.3032,113.9252,0,14,250,0,1,,1752268040
3b3403e5,ACA030,AC,ACA,PEK,YVR,B789,C-FVNF,49.234,-122.8662,5800,239,101,-1024,0,,1752268040
3b340610,CFG2086,DE,CFG,FRA,LAX,A339,D-ANRA,39.0566,-112.9718,38000,472,199,0,0,,1752268041
3b3406a2,SIA317,SQ,SIA,LHR,SIN,A388,9V-SKW,12.7271,93.5327,39000,487,135,0,0,,1752268041
3b3406bf,GDFCW,,,,,GLID,G-DFCW,51.9798,-3.206,1069,10,89,0,0,,1752268041
3b3406df,QFA15,QF,QFA,BNE,LAX,A332,VH-EBN,21.4041,-136.117,39000,465,46,0,0,,1752268039
3b340749,CPA270,CX,CPA,AMS,HKG,A35K,B-LXC,24.0353,108.9442,39100,491,145,0,0,,1752268027
3b340792,FJI880,FJ,FJI,NAN,YVR,A359,DQ-FAI,49.121,-122.8041,2850,225,318,-512,0,,1752268040
3b3407a5,N39AE,,,,,B407,N39AE,36.1902,-93.5477,3950,111,262,-448,0,,1752268040
3b34089e,,,,QDV,,C25B,PR-PLU,-22.6992,-47.7095,7650,253,134,-1344,0,,1752268041
3b3408cd,BAW265,BA,BAW,LHR,SAN,B77W,G-STBN,33.4679,-116.026,22650,396,235,-1792,0,,1752268041
3b3408d2,ANA206,NH,ANA,VIE,HND,B789,JA933A,36.9724,128.4048,41000,490,102,-64,0,,1752268041
3b3409ab,DAL231,DL,DAL,FCO,JFK,B763,N16065,40.9694,-72.6417,13825,354,251,-1472,0,,1752268041
3b3409d6,CSZ866,ZH,CSZ,BCN,SZX,A333,B-8865,34.3925,103.4038,39100,484,95,0,0,,1752268036
3b3409f6,DKH1660,HO,DKH,BRU,PVG,B789,B-209R,30.7151,121.8767,7275,282,81,-960,0,,1752267957
3b340a08,N959BW,,,,,C82R,N959BW,30.2007,-89.057,1300,97,180,0,0,,1752268040
3b340a0b,CSN348,CZ,CSN,CDG,CAN,A359,B-30EA,26.2284,112.8067,33950,450,152,0,0,,1752268036
3b340a80,AAR790,OZ,AAR,MXP,ICN,B744,HL7645,37.4006,123.427,26600,422,129,0,0,,1752268036
3b340ac6,N101VB,,,HUM,PGL,C182,N101VB,29.6958,-89.8775,900,116,265,0,0,,1752268041
3b340ae2,CPA260,CX,CPA,CDG,HKG,A359,B-LRG,23.4781,110.5372,35200,503,102,-1984,0,,1752268025
3b340b35,N733BD,,,HUM,,C172,N733BD,29.7101,-90.1498,1300,125,291,0,0,,1752268041
3b340c5a,N770BC,,,EZE,SCF,GLF6,N770BC,30.2867,-110.3726,42575,488,334,-1536,0,,1752268040
3b340c5b,THY5KM,TK,THY,IST,IAH,B789,TC-LLR,41.1993,-82.6704,38000,456,231,0,0,,1752268040
3b340c72,CCA848,CA,CCA,LGW,PVG,A359,B-32D3,32.5586,119.133,29100,417,145,0,0,,1752268028
3b340c96,DAL196,DL,DAL,ICN,SEA,A359,N501DN,47.4384,-122.2983,0,0,73,0,1,,1752268039
3b340cb8,VJT754,VJ,VJT,NCE,FRG,GLEX,9H-VJF,40.725,-73.4099,0,9,312,0,1,,1752268040
3b340d02,NBT41L,N0,NBT,FCO,LAX,B789,LN-FNL,42.5306,-102.6051,39975,443,240,64,0,,1752268041
3b340d0b,UAE417,EK,UAE,SYD,DXB,A388,A6-EOE,11.4461,80.779,40000,542,302,0,0,,1752268041
3b340d1a,VIR316,VS,VIR,LHR,BLR,B789,G-VDIA,17.0931,73.5143,38975,440,124,-64,0,,1752268041
3b340d22,JBU2260,B6,JBU,MAD,BOS,A21N,N4073J,42.3676,-71.0169,0,0,226,0,1,,1752268039
3b340d6e,CES202,MU,CES,LGW,PVG,B77W,B-7343,31.5877,120.3254,35100,536,109,0,0,,1752268041
3b340d80,JBU2289,B6,JBU,AMS,JFK,A21N,N4083J,40.6476,-73.7746,0,0,199,0,1,,1752268037
3b340d8c,IBE7269,IB,IBE,MAD,GIG,A333,EC-LXK,-22.8213,-43.2431,0,8,357,0,1,,1752268037
3b340da9,PAL118,PR,PAL,MNL,YYZ,A359,RP-C3501,49.0394,-150.8997,39008,559,91,0,0,,1752268041
3b340dcb,CKK202,CK,CKK,BUD,PVG,B77L,B-223A,31.142,121.7882,0,38,343,0,1,,1752267992
3b340dd0,CES5810,MU,CES,SHA,KMG,B737,B-5256,25.1106,102.9371,0,0,73,0,1,,1752267997
3b340f67,AAL37,AA,AAL,MAD,DFW,B772,N792AN,33.9595,-95.7514,25000,453,219,-2240,0,,1752268041
3b340fe8,SIA327,SQ,SIA,MUC,SIN,A359,9V-SML,7.2111,100.6552,41000,436,125,0,0,,1752268041
3b340ff1,CCA968,CA,CCA,MXP,PVG,A359,B-321M,32.0049,117.4131,31100,476,112,0,0,,1752268042
3b341030,FWI44N,TX,FWI,ORY,PTP,A333,F-HPUJ,19.4578,-59.0046,37000,443,213,0,0,,1752268039
3b3410d6,MAS21,MH,MAS,CDG,KUL,A359,9M-MAE,9.6401,93.2996,39000,467,139,0,0,,1752268039
3b3410df,UAL160,UA,UAL,MUC,IAH,B772,N785UA,29.9797,-94.7415,6925,285,280,-256,0,,1752268040
3b341190,DLH714,LH,DLH,MUC,HND,A359,D-AIXK,37.2155,123.7461,41100,477,126,-64,0,,1752268041
3b34119b,FDX5319,FX,FDX,OAK,NRT,B77L,N843FD,35.5691,140.5164,3925,194,328,-704,0,,1752268040
3b34119e,LOT29,LO,LOT,WAW,MIA,B788,SP-LRC,27.316,-80.2507,26200,449,149,-2304,0,,1752268041
3b3411b8,AIC309,AI,AIC,MEL,DEL,B788,VT-ANU,18.5881,87.5253,40000,519,315,-64,0,,1752268041
3b3411d8,KAL214,KE,KAL,SFO,ICN,B748,HL7624,38.4172,136.1779,38000,497,254,0,0,,1752268035
3b3411df,CKK221,CK,CKK,PVG,LAX,B77L,B-222N,38.3492,-123.1614,33000,514,129,0,0,,1752268040
3b34120f,CPA090,CX,CPA,HKG,ANC,B744,B-LID,56.7961,-171.0574,35000,498,50,0,0,,1752268036
3b341236,UAL802,UA,UAL,HKG,LAX,B789,N13954,44.8948,-143.8109,37996,511,106,0,0,,1752268041
3b34130a,QFA9,QF,QFA,PER,LHR,B789,VH-ZNG,24.7328,54.233,39975,506,306,0,0,,1752268040
3b341355,N782FA,,,,,AT8T,N782FA,36.4499,-90.3246,350,115,269,-2432,0,,1752268000
3b34135f,CAO3138,CA,CAO,CDG,CAN,B77L,B-225A,25.2862,108.0022,37100,487,145,0,0,,1752268020
3b34147a,IBE0221,IB,IBE,MAD,GUA,A332,EC-MLP,15.327,-88.4546,37025,458,259,-1024,0,,1752268041
3b3414c0,BAW21B,BA,BAW,LHR,LAX,B77W,G-STBB,34.6143,-116.2276,24975,381,226,64,0,,1752268040
3b341506,CPA382,CX,CPA,ZRH,HKG,A359,B-LRQ,33.0801,104.4184,41100,499,155,0,0,,1752268041
3b34153c,CCA578,CA,CCA,BCN,PVG,A359,B-32DN,35.6827,113.0395,39100,489,160,0,0,,1752268039
3b3416b5,SIA355,SQ,SIA,MXP,SIN,A359,9V-SMK,9.0539,97.9426,39000,459,123,0,0,,1752268041
3b3416d6,DLH5Y,LH,DLH,MUC,SAN,A359,D-AIXV,40.358,-112.3978,40000,487,200,0,0,,1752268041
3b3417a0,CMB573,5Y,GTI,SOF,TCM,B744,N446MC,52.2406,-109.483,40000,497,222,-64,0,,1752268040
3b341851,KLM603,KL,KLM,AMS,LAX,B78X,PH-BKO,35.2993,-115.3519,38025,463,226,-1280,0,,1752268040
3b341882,QTR64L,QR,QTR,SYD,DOH,A388,A7-APJ,6.4571,81.5335,38000,519,310,0,0,,1752268041
3b3418ba,HVN72,VN,HVN,MXP,HAN,B789,VN-A864,21.1951,103.838,28475,473,84,-2048,0,,1752268020
3b3418ea,AAL26,AA,AAL,HND,LAX,B788,N881BK,35.4785,-119.9665,36975,519,148,0,0,,1752268041
3b3418ee,DLH452,LH,DLH,MUC,LAX,A388,D-AIMK,38.8987,-113.0126,40000,487,201,0,0,,1752268040
